content_id,answer,annotator_id,session_id,time_spent,timestamp,model_id,input_type
gpt-4.1_video_youtube_rate_1,['Violence'],tester1,session_1760434389382,4,2025-10-14T09:33:13.044835,gpt-4.1,video
gpt-4.1_video_youtube_rate_2,['Language'],tester1,session_1760434389382,2,2025-10-14T09:33:14.627328,gpt-4.1,video
gpt-4.1_video_youtube_rate_3,['Drugs'],tester1,session_1760434389382,2,2025-10-14T09:33:16.299757,gpt-4.1,video
gpt-4.1_video_youtube_rate_4,['Violence'],tester1,session_1760434389382,1,2025-10-14T09:33:17.685469,gpt-4.1,video
gpt-4.1_video_youtube_rate_5,"['Sex and Nudity', 'Violence']",tester1,session_1760434389382,2,2025-10-14T09:33:19.297120,gpt-4.1,video
gpt-4.1_video_youtube_rate_6,"['Sex and Nudity', 'Language']",tester1,session_1760434389382,2,2025-10-14T09:33:21.001486,gpt-4.1,video
gpt-4.1_video_youtube_rate_7,"['Sex and Nudity', 'Language']",tester1,session_1760434389382,4,2025-10-14T09:33:25.161852,gpt-4.1,video
gpt-4.1_video_youtube_rate_8,"['Sex and Nudity', 'Drugs']",tester1,session_1760434389382,2,2025-10-14T09:33:27.182653,gpt-4.1,video
gpt-4.1_video_youtube_rate_9,['Violence'],tester1,session_1760434389382,1,2025-10-14T09:33:28.482874,gpt-4.1,video
gpt-4.1_video_youtube_rate_10,"['Language', 'Violence']",tester1,session_1760434389382,3,2025-10-14T09:33:31.209401,gpt-4.1,video
gpt-4.1_video_youtube_rate_11,"['Violence', 'Drugs']",tester1,session_1760434389382,2,2025-10-14T09:33:33.060320,gpt-4.1,video
gpt-4.1_video_youtube_rate_12,"['Language', 'Drugs']",tester1,session_1760434389382,2,2025-10-14T09:33:35.120550,gpt-4.1,video
gpt-4.1_video_youtube_rate_13,['None'],tester1,session_1760434389382,1,2025-10-14T09:33:36.547961,gpt-4.1,video
gpt-4.1_video_youtube_rate_14,['None'],tester1,session_1760434389382,4,2025-10-14T09:33:40.712807,gpt-4.1,video
gpt-4.1_video_youtube_rate_15,"['Bias', 'Language']",tester1,session_1760434389382,4,2025-10-14T09:33:44.649362,gpt-4.1,video
gpt-4.1_video_youtube_rate_15_bias,"Nationality,Sexual Identity",tester1,session_1760434389382,2,2025-10-14T09:33:47.127779,,
gpt-4.1_video_youtube_rate_16,['Violence'],tester1,session_1760434389382,2,2025-10-14T09:33:49.070754,gpt-4.1,video
gpt-4.1_video_youtube_rate_17,['Bias'],tester1,session_1760434389382,2,2025-10-14T09:33:50.683037,gpt-4.1,video
gpt-4.1_video_youtube_rate_17_bias,"Nationality,Gender",tester1,session_1760434389382,2,2025-10-14T09:33:52.246967,,
gpt-4.1_video_youtube_rate_18,['Drugs'],tester1,session_1760434389382,1,2025-10-14T09:33:53.643647,gpt-4.1,video
