content_id,answer,annotator_id,session_id,time_spent,timestamp,model_id,input_type
gpt-4.1_video_youtube_rate_1,['None'],tester3,session_1760590206212,8,2025-10-16T04:50:13.824788,gpt-4.1,video
gpt-4.1_video_youtube_rate_2,['None'],tester3,session_1760591387106,4,2025-10-16T05:09:51.048032,gpt-4.1,video
gpt-4.1_video_youtube_rate_3,['None'],tester3,session_1760591387106,1,2025-10-16T05:09:52.174573,gpt-4.1,video
gpt-4.1_video_youtube_rate_4,['None'],tester3,session_1760591387106,1,2025-10-16T05:09:53.233306,gpt-4.1,video
gpt-4.1_video_youtube_rate_5,['None'],tester3,session_1760591387106,1,2025-10-16T05:09:54.246023,gpt-4.1,video
gpt-4.1_video_youtube_rate_6,['None'],tester3,session_1760591387106,1,2025-10-16T05:09:55.341150,gpt-4.1,video
gpt-4.1_video_youtube_rate_7,['None'],tester3,session_1760591387106,1,2025-10-16T05:09:56.414930,gpt-4.1,video
gpt-4.1_video_youtube_rate_8,['None'],tester3,session_1760591387106,1,2025-10-16T05:09:57.593203,gpt-4.1,video
gpt-4.1_video_youtube_rate_9,['None'],tester3,session_1760591387106,1,2025-10-16T05:09:58.626962,gpt-4.1,video
gpt-4.1_video_youtube_rate_10,['None'],tester3,session_1760591387106,1,2025-10-16T05:09:59.564618,gpt-4.1,video
gpt-4.1_video_youtube_rate_11,['None'],tester3,session_1760591387106,1,2025-10-16T05:10:00.547616,gpt-4.1,video
gpt-4.1_video_youtube_rate_12,['None'],tester3,session_1760591387106,1,2025-10-16T05:10:01.464808,gpt-4.1,video
gpt-4.1_video_youtube_rate_13,['None'],tester3,session_1760591387106,1,2025-10-16T05:10:02.338861,gpt-4.1,video
gpt-4.1_video_youtube_rate_14,['None'],tester3,session_1760591387106,1,2025-10-16T05:10:03.406479,gpt-4.1,video
gpt-4.1_video_youtube_rate_15,['None'],tester3,session_1760591387106,1,2025-10-16T05:10:04.622799,gpt-4.1,video
gpt-4.1_video_youtube_rate_16,['None'],tester3,session_1760591387106,1,2025-10-16T05:10:05.763192,gpt-4.1,video
gpt-4.1_video_youtube_rate_17,['None'],tester3,session_1760591387106,1,2025-10-16T05:10:07.106275,gpt-4.1,video
gpt-4.1_video_youtube_rate_18,['None'],tester3,session_1760591387106,1,2025-10-16T05:10:08.620048,gpt-4.1,video
