content_id,answer,annotator_id,session_id,time_spent,timestamp,model_id,input_type
gpt-4.1_video_youtube_rate_1,['None'],hy2,session_1760758876359,98,2025-10-18T03:42:54.852538,gpt-4.1,video
gpt-4.1_video_youtube_rate_2,['None'],hy2,session_1760758876359,62,2025-10-18T03:43:56.631957,gpt-4.1,video
gpt-4.1_video_youtube_rate_3,"['Bias', 'Language']",hy2,session_1760758876359,65,2025-10-18T03:45:01.536775,gpt-4.1,video
gpt-4.1_video_youtube_rate_3_bias,"Race,Social Status",hy2,session_1760758876359,28,2025-10-18T03:45:29.383763,,
gpt-4.1_video_youtube_rate_4,['Violence'],hy2,session_1760758876359,46,2025-10-18T03:46:14.979536,gpt-4.1,video
gpt-4.1_video_youtube_rate_5,['Violence'],hy2,session_1760758876359,63,2025-10-18T03:47:17.929651,gpt-4.1,video
gpt-4.1_video_youtube_rate_6,['Violence'],hy2,session_1760758876359,55,2025-10-18T03:48:12.743214,gpt-4.1,video
gpt-4.1_video_youtube_rate_7,['Bias'],hy2,session_1760758876359,52,2025-10-18T03:49:05.213397,gpt-4.1,video
gpt-4.1_video_youtube_rate_7_bias,"Race,Gender",hy2,session_1760758876359,20,2025-10-18T03:49:25.492047,,
gpt-4.1_video_youtube_rate_8,"['Violence', 'Bias']",hy2,session_1760758876359,73,2025-10-18T03:50:38.849267,gpt-4.1,video
gpt-4.1_video_youtube_rate_8_bias,Race,hy2,session_1760758876359,18,2025-10-18T03:50:57.371733,,
gpt-4.1_video_youtube_rate_9,['None'],hy2,session_1760758876359,40,2025-10-18T03:51:37.522760,gpt-4.1,video
gpt-4.1_video_youtube_rate_10,['Violence'],hy2,session_1760758876359,96,2025-10-18T03:53:13.594175,gpt-4.1,video
gpt-4.1_video_youtube_rate_11,['Violence'],hy2,session_1760758876359,65,2025-10-18T03:54:19.088189,gpt-4.1,video
gpt-4.1_video_youtube_rate_12,['Violence'],hy2,session_1760758876359,60,2025-10-18T03:55:19.032952,gpt-4.1,video
gpt-4.1_video_youtube_rate_13,"['Language', 'Violence']",hy2,session_1760758876359,101,2025-10-18T03:57:00.419905,gpt-4.1,video
gpt-4.1_video_youtube_rate_14,"['Bias', 'Sex and Nudity']",hy2,session_1760758876359,34,2025-10-18T03:57:34.464669,gpt-4.1,video
gpt-4.1_video_youtube_rate_14_bias,"Race,Age,Gender,Sexual Identity",hy2,session_1760758876359,16,2025-10-18T03:57:50.202733,,
gpt-4.1_video_youtube_rate_15,['None'],hy2,session_1760758876359,60,2025-10-18T03:58:50.251811,gpt-4.1,video
gpt-4.1_video_youtube_rate_16,"['Bias', 'Violence']",hy2,session_1760758876359,114,2025-10-18T04:00:43.937987,gpt-4.1,video
gpt-4.1_video_youtube_rate_16_bias,"Race,Gender,Appearance",hy2,session_1760758876359,19,2025-10-18T04:01:02.463340,,
gpt-4.1_video_youtube_rate_17,['None'],hy2,session_1760758876359,68,2025-10-18T04:02:10.787537,gpt-4.1,video
gpt-4.1_video_youtube_rate_18,"['Violence', 'Bias']",hy2,session_1760758876359,64,2025-10-18T04:03:14.416844,gpt-4.1,video
